1;Surgery;Chronic otitis media;A 43 year old woman presents with worsening left-sided headache. She has a history of chronic otitis media affecting the left ear. How would you assess her?
2;Surgery;Laryngeal carcinoma;A 60 year old man presents with hoarseness for four weeks. There is no history of upper respiratory infection. How would you assess him?
3;Surgery;Lymphoma neck lump;A 63 year old man presents with a painless swelling in his left lateral neck. How would you assess him?
4;Surgery;Acute rhinosinusitis;A 37 year old woman presents with acute pain over the left cheek and eye following an upper respiratory tract infection. She feels congested in the sinuses and has noticed an unpleasant taste at the back of her throat especially in the mornings. The left eye and cheek are swollen, inflamed and tender. How would you assess and manage her?
5;Surgery;Subacute thyroiditis;A 36 year old woman presents with a four day history of neck pain and swelling. She has a swollen painful thyroid. How would you assess and manage her?
"6;Surgery;Solitary thyroid nodule;A 50 year old healthy woman notices a lump on the side of her neck.
Ultrasound reveals a 1.5cm solitary nodule in her thyroid. How would you assess her?"
7;Surgery;Abdominal wall haemorrhage / haematoma;An 86 year old woman presents with sudden onset of right abdominal pain. She is taking Warfarin because of previous deep vein thrombosis. Examination revealed evidence of a tender 10cm abdominal wall mass. Can you outline your management?
8;Surgery;Acute appendicitis;A 25 year old man presents with a two week history of right iliac fossa pain and intermittent fevers. His BP is 120/72 mmHg, PR 64/min and T 36.4°C. Examination reveals evidence of a 6cm right iliac fossa mass. There is tenderness over the mass but nowhere else on the abdomen. How would you assess and manage him?
9;Surgery;Ascending cholangitis / Cholecystitis;A 66 year old woman presents to hospital with a three day history of right upper quadrant pain and fever. She is taking Dabigatran (Pradaxa) because of atrial fibrillation. Outline the management options.
10;Surgery;Laparoscopic cholecystectomy consent;A 40 year old woman is admitted for an elective laparoscopic cholecystectomy for gallstones. How would you explain the risks and benefits of the procedure to her?
11;Surgery;Refused cholecystectomy;A 60 year old woman has known gallstones and suffered an attack of pancreatitis two months ago. She has been strongly advised to have a cholecystectomy but does not wish to undergo surgery. How would you manage this situation?
12;Surgery;Consent for anterior resection of rectum;A 70 year old man has a rectal cancer which will require anterior resection of the rectum. He does not speak English. How would you obtain informed consent?
13;Surgery;Dysphagia;A 72 year old man presents with a 6 months history of dysphagia. How would you assess him?
14;Surgery;Haemorhhoids;A 65-­‐year-­‐old woman complains of PR bleeding which she attributes to haemorrhoids. How would you assess and manage?
15;Surgery;Groin hernia;An 82 year old woman is transferred from a nursing home to the Emergency Department with a history of cramping abdominal pain, vomiting of dark green fluid and abdominal distension. Clinical examination reveals evidence of a 5cm hard right groin lump. How would you assess and manage her?
16;Surgery;Large bowel obstruction;An 82 year old woman presents to the Emergency Department with a four day history of cramping supra-pubic abdominal pain, abdominal distension and complete constipation. She has not previously had any abdominal surgery. Clinical examination reveals evidence of right iliac fossa tenderness. Can you outline your management plan?
17;Surgery;Metastatic colorectal cancer;An 80 year old woman with dementia from a nursing home is transferred with symptoms of a large bowel obstruction. An abdominal CT scan confirms evidence of an obstructing sigmoid colon cancer with multiple liver metastases. How would you manage her?
18;Surgery;Pancreatic cancer;A 58 year old man presents with painless progressive jaundice for 2 weeks. Investigations reveal cholestatic liver function tests, dilated bile ducts, and a 3cm mass in the head of the pancreas. How would you manage him?
19;Surgery;Extradural haematoma;A 25 year old man sustained a head injury during a football game and is confused. Outline the important aspects in the management of this patient.
20;Surgery;Age-related macular degeneration;A 76 year old woman complains of worsening vision when reading and has also noticed that lines of text appear wavy. How would you assess her?
21;Surgery;Compartment syndrome;A 50 year old woman suffers a fractured tibia and fibula and a below knee plaster is applied. The following day, she has severe pain in the leg and foot and her toes are cold. How would you manage her?
22;Surgery;Consent for total hip replacement;A 70 year old man has been advised to have a total hip replacement because of osteoarthritis and severe pain. What would you advise him about the risks and benefits of the procedure?
23;Surgery;Right arm injury;A 27 year old man has sustained injury to his right arm. How would you test for the function of his radial, median and ulnar nerves?
24;Surgery;Septic arthritis;An 80 year old woman presents with a painful swollen right knee. She has a temperature of 38.2°C. The knee joint is swollen, tender and warm. How would you manage her?
25;Surgery;Breast lump;A 60 year old woman presents with a breast lump she has found herself. You are unable to palpate the lump. How would you manage this situation?
26;Surgery;Melanoma;A 30 year old woman presents with a 1cm pigmented lesion on the skin of the left calf. She thinks it has increased in size recently. How would you assess her?
27;Surgery;Painless haematuria;A 76 year old man presents with painless haematuria. How would you assess him?
28;Surgery;Impotence;A 70 year old man presents with the recent onset of impotence. How would you assess and manage him?
29;Surgery;Painful swollen testis;A 56 year old man presents with a painful, swollen right testis. He has recently experienced several urinary tract infections. How would you manage him?
30;Surgery;Prostate carcinoma;A 68 year old man presents with difficulty passing urine and frequent nocturia. He has a generally enlarged prostate with a small hard nodule on its surface. How would you assess and manage him?
31;Surgery;Pyelonephritis / Kidney Stone *** differing answers;A 65 year old man presents to the Emergency Department with a twenty four hour history of right loin to groin colicky pain and intermittent fevers. His BP is 120/72 mmHg, PR 64/min and T 38.4°C. Can you outline your management plan?
32;Surgery;Central catheter associated pneumothorax;A 57 year old man has a central line inserted into his right subclavian vein. Immediately after the insertion, he develops acute shortness of breath. How would you assess and manage him?
33;Surgery;Carotid bruit;A 70 year old asymptomatic man is found to have a right carotid bruit. How would you assess and manage him?
34;Surgery;Diabetic ulcer;An 87 year old man presents with a necrotic ulcer on the tip of his 4th right toe. He is known to have diabetes. How would you assess and manage him?
35;Surgery;Venous ulcer;A 65 year old woman has a 7cm ulcer with a sloughy base situated just above the medial malleolus. There is brownish pigmentation of her left lower calf . How would you manage her?
36;Surgery;Pre-op anti-platelet management;A 70 year old man is booked for an elective cystoscopy. He is taking clopidogrel and aspirin because of emergency insertion of a coronary stent two months earlier. Outline your pre-operative management.
37;Surgery;DVT prophylaxis;A 65 year old man is booked for a radical prostatectomy for prostate cancer. He had a right leg deep venous thrombosis 5 months ago and is currently on Warfarin. What are the measures you would take to prevent a recurrence?
38;Surgery;Idiopathic Thrombocytopaenic Purpura;A 36 year old woman is to have a repair of a shoulder rotator cuff injury. She has a history of ITP and is on oral prednisone. How would you manage her?
39;Surgery;Intra-op components of care;A 65 year old man is on the operating theatre table for a liver resection for metastases from colorectal cancer. Outline the non-surgical intra-operative components of this patient’s care.
40;Surgery;Pre-op colonoscopy and diabetes management;A 70 year old man is booked for an elective colonoscopy because of a positive faecal occult blood test. He is diabetic and takes metformin but no insulin. He has mild renal impairment (serum creatinine 0.14mmol/L, NR 0.06-0.12). How would you assess and manage this man peri-operatively?
41;Surgery;Pre-op and post-op care;A 65 year old man has been transferred from the ward to the operating theatres for an elective right knee replacement. Outline his pre-operative management and post-operative recovery room care.
42;Surgery;Peripheral vascular disease in surgical candidate;A 64 year old man has severe osteoarthritis of the right knee and a knee replacement has been recommended. He also has intermittent claudication at 100 metres. How would you assess him prior to surgery?
